# Stability boundary coordinates (det = 0)
# Columns: C11   C22   C12   x   y
  1.76436405   1.02195872   0.89616251   0.15369495   0.37503385
  1.76436405   1.02195872   0.89616251   0.15420787   0.37445021
  1.74942063   1.01764115   0.88333597   0.15430710   0.37253029
  1.74942063   1.01764115   0.88333597   0.15655699   0.37058526
  1.74942063   1.01764115   0.88333597   0.15729970   0.36897415
  1.75590908   0.99216842   0.86148566   0.15956843   0.36422775
  1.75590908   0.99216842   0.86148566   0.16053471   0.36301395
  1.75590908   0.99216842   0.86148566   0.16072304   0.36258536
  1.77693598   0.97114152   0.85185463   0.16562316   0.35889755
  1.76172652   0.96764151   0.83947585   0.16707578   0.35538536
  1.76172652   0.96764151   0.83947585   0.16756167   0.35427938
  1.76687544   0.94405605   0.81733069   0.17393171   0.34734953
  1.76687544   0.94405605   0.81733069   0.17443802   0.34700049
  1.76687544   0.94405605   0.81733069   0.17452846   0.34672851
  1.76687544   0.94405605   0.81733069   0.17632270   0.34489900
  1.77135895   0.92140710   0.79507403   0.18146409   0.33949544
  1.77135895   0.92140710   0.79507403   0.18324418   0.33768155
  1.79074305   0.90202300   0.78440514   0.18615420   0.33454927
  1.79074305   0.90202300   0.78440514   0.18839312   0.33256037
  1.77518078   0.89968911   0.77272946   0.19055279   0.33025849
  1.79401267   0.88085722   0.76175391   0.19536809   0.32595197
  1.79401267   0.88085722   0.76175391   0.19544044   0.32587957
  1.79401267   0.88085722   0.76175391   0.19561864   0.32571697
  1.81256953   0.86230036   0.75031950   0.20019178   0.32137031
  1.81256953   0.86230036   0.75031950   0.20233417   0.31952058
  1.79662359   0.86061763   0.73905747   0.20522723   0.31676473
  1.81462001   0.84262121   0.72734951   0.20933022   0.31328481
  1.83232369   0.82491753   0.71520342   0.21601041   0.30763926
  1.83232369   0.82491753   0.71520342   0.21640889   0.30727701
  1.83232369   0.82491753   0.71520342   0.21663301   0.30707293
  1.83232369   0.82491753   0.71520342   0.21844653   0.30559154
  1.84972396   0.80751727   0.70262652   0.22357451   0.30145534
  1.84972396   0.80751727   0.70262652   0.22414249   0.30104532
  1.86681033   0.79043089   0.68962639   0.23079880   0.29574132
  1.86681033   0.79043089   0.68962639   0.23159595   0.29518358
  1.88357251   0.77366871   0.67621085   0.23807999   0.29010131
  1.90000042   0.75724080   0.66238799   0.24251645   0.28685837
  1.90000042   0.75724080   0.66238799   0.24511809   0.28499815
  1.90000042   0.75724080   0.66238799   0.24554322   0.28465283
  1.91608414   0.74115708   0.64816613   0.25118582   0.28083846
  1.91608414   0.74115708   0.64816613   0.25314366   0.27930099
  1.93181400   0.72542722   0.63355383   0.25711953   0.27674165
  1.94982003   0.72504986   0.64320817   0.26080158   0.27392847
  1.94982003   0.72504986   0.64320817   0.26298330   0.27257571
  1.96542071   0.70944918   0.62798576   0.26854339   0.26854339
  1.96542071   0.70944918   0.62798576   0.26874910   0.26842541
  1.96542071   0.70944918   0.62798576   0.26915188   0.26816498
  1.98064311   0.69422678   0.61238508   0.27396745   0.26534667
  1.98064311   0.69422678   0.61238508   0.27663832   0.26338157
  1.99930985   0.69345620   0.62163801   0.27929212   0.26186229
  2.01436896   0.67839709   0.60542716   0.28453080   0.25819441
  2.01436896   0.67839709   0.60542716   0.28465585   0.25811909
  2.01436896   0.67839709   0.60542716   0.28472826   0.25806266
  2.01436896   0.67839709   0.60542716   0.28502190   0.25787433
  2.04833765   0.66259384   0.59767542   0.29320588   0.25292113
  2.04833765   0.66259384   0.59767542   0.29637540   0.25110089
  2.06279666   0.64813483   0.58049148   0.30191094   0.24777191
  2.08252836   0.64683966   0.58911963   0.30423282   0.24662432
  2.09676988   0.63259814   0.57132542   0.30692570   0.24493822
  2.09676988   0.63259814   0.57132542   0.30895715   0.24395208
  2.09676988   0.63259814   0.57132542   0.31084433   0.24258530
  2.11691984   0.63115766   0.57975009   0.31362917   0.24129656
  2.13092388   0.61715362   0.56134427   0.31646527   0.23954279
  2.13092388   0.61715362   0.56134427   0.32010329   0.23740478
  2.16523678   0.60182500   0.55053940   0.32517424   0.23483233
  2.16523678   0.60182500   0.55053940   0.32727529   0.23396485
